QN number,Questions,English translation,Right answer,area
bocho,Bocho anaogelea(A) au anatembea chini ya bahari(B)?,Frogfishes swim(A) or walk on the bottom of the sea(B)?,B,fishing
chale,Chale ni hatari. Kweli(A) au sio kweli(B).,Lion fishes are dangerous. True(A) or false(B).,A,fishing
chamvi,Chamvi ni mtoto wa kipepeo. Kweli(A) au sio kweli(B).,The caterpillar is the offsping of the butterfly. True(A) or not true(B).,A,forest
chepu,"Dawa gani inatumika kwa kuua chepu, msinduzi(A) au tonga mwuitu(B)?","Which plant is a good medicine to kill fly larvae, msindu(A) or forest tonga(B)?",B,medicine
chewa,Chewa ana meno mengi(A) au hana meno(B)?,Groupers have many(A) or no(B) teeth?,A,fishing
chowe,"Maji yanapotoka, zinapatikana kungugu(A) au chowe(B) ufukweni?","When the tide is low, can you find cowrie shells or razor shelld on the beach?",B,shell
dau,"Mti gani ni bau mzuri kwa kutengeneza dau, mgulele(A) au mkarati(B)?","Which wood is good to build boats, mgulele(A) or mkarati(B)?",B,building
kamba,Kamba anaweza kuogelea baharini. Kweli(A) au sio kweli(B).,Shrimps can swim in the sea. True(A) or false(B).,A,shell
kambare,Kambare anaweza kuogelea baharini(A) au mtoni tu(B)?,Can catfishes swim in the sea(A) or only in the river(B)?,B,forest
kasa,"Kasa anasafiri msimu kuja Pemba, kaskazi(A) au kusi(B).",Sea turtles travel in the cold(A) or hot season(B)?,A,fishing
kasa_kutaga,Kasa anarudi kwa kutaga ufukweni kila miezi sita(A) au miaka moja-miwili(B)?,Do sea turtles return to their beach every six months(A) or one-two years(B)?,B,fishing
kichachuli,Kichachuli ni mtoto wa tumbili(A) au wa paa(B)?,Kichachuli is the offspring of the vervet monkey(A) or of the civet(B)?,A,forest
kijimbi,Kijimbi msitu anakula wadudu(A) au samaki(B)?,Do kingfishers eat insects(A) or fish(B)?,A,forest
koa,"Nani anakula koa, ngawa (A) au chonjwe(B)?","Who eats snails, the civet(A) or the mongoose(B)?",B,fishing
koho,Koho anakula nyama. Kweli(A) au sio kweli(B)?,Do vultures eat meat(A) or fruits(B)?,A,forest
komba_lala,Komba analala usiku(A) au mchana(B)?,Bushbabies sleep at night(A) or during the day(B)?,B,forest
komba_ndizi,"Komba, anapokula ndizi,  anakula moja tu(A) au anaharibu ndizi zote(B)?","Bushbabies, when eating bananas, eat one at a time(A) or they ruin the whole batch(B)?",A,farming
koogwe,Mwenda (tumbili pevu/koogwe) anaishi na wajukuu wake(A) peke yake(B)?,The territorial vervet monkey male lives with his grandchildren(A) or by himself(B)?,B,forest
kubanja,Chaza (A) au tondoo(B) ni ngumu kwa kubanja?,Chaza(A) or tondoo(B) is hard to kubanja?,B,shell
kutambaa,Mbaazi(A) au maharage(B) ni mti ya kutambaa?,Mbaazi(A) or beans(B) is a vine?,B,farming
matunda,"Matunda gani yanazaliwa mara moja kwa mwaka, korosho(A) au zambarau(B)?","Which fruit is produced once a year, mkorosho(A) or java plums(B)?",A,farming
mbiliwili,"Mbiliwili anasafiri mpaka ulaya, kweli(A) au sio kweli(B).",Swifts travel to Europe. True(A) or false(B)?,A,forest
mgulele,Mgulele anafanya matunda kama mzambarau(A) au kama stafeli(B)?,The mgulele tree makes fruits that resemble java plums(A) or custard apples(B)?,A,farming
mikandaa,Churambo(A) au Toondo(B) anaishi katikati mikandaa?,Helmet shells(A) or mud whelks(B) live in between the mangroves?,B,shell
minazi,"Minazi gani inaishi kwa muda mrefu zaidi, za kilimo(A) au za kawaida(B)?","Which coconut lives a longer life, the cultivation one(A) or the normal one(B)?",B,farming
mjafari,Mjafari unatumika kama dawa mzizi(A) au majani(B)?,"Of the plant mjafari, the roots(A) or the leaves(B) are used as medicine?",A,medicine
mjusi,"Mjusi anaweza kuwa rangi gani, nyeupe(A) au kijani(B)?","Geckos can be which color, white(A) or green(B)?",B,forest
mkuu,Mkuu wa usiku unatumika kama dawa ya kichwa(A) au mshipa(B)?,Mkuu wa usiko is used as a medicine for the head(A) or the stomach(B)?,B,medicine
mwani,Msimu gani ni msimu nzuri kwa mwani: Kaskazi(A) au Masika(B)?,"Which season is good for cultivating seaweed, long dry season(A) or long rainy season(B)?",A,farming
ndizi,"Ndizi gani ni nzuri kwa kupikwa, mkono wa tembo(A) au pukusa(B)?","Which banana is good for cooking, mkono wa tembo(A) or kukusa(B)?",A,farming
nduaro,Nduaro anaweza kuwa kubwa kama ngombe(A) au kama mtoto(B)?,Tunas reach the size of a cow(A) or of a child(B)?,A,fishing
ngawa,Ngawa anakula magonda ya mchikichi. Kweli(A) au sio kweli(B).,Civets eat the meat of oil nuts. True(A) or false(B).,A,forest
ngisi,"Akiogopa, ngisi anazalisha kivi. Kweli(A) au sio kweli(B)?","When scared, the squid releases ink. True(A) or false(B).",A,fishing
nyangumi,Nyangumi anasafiri Pemba kwa kuzaa(A) au kwa kupumzika tu(B)?,Whales travel to Pemba to give birth(A) or to rest(B)?,A,fishing
panga,Msimu gani ni msimu nzuri kwa panga: mwanza(A) au nusu(B) wa mwezi?,Which period is good for panga: beginning(A) or mid(B) moon?,A,shell
papa_watoto,"Kwa mara moja, papa anazaa watoto kama watano(A) au hamsini(B)?","Per single event, do sharks give birth to about five(A) or fifty(B) offspring?",A,forest
